Exchange,Pair,Category,Token CEX,Token Name,Ticker,Market Cap Today,FDV Today,Depth +2%,Depth -2%,Bid Ask Spread Percentage,24H Volume (USD)
Gate.io,USDT,"BNB Chain Ecosystem, Ethereum Ecosystem, Bitcoin Sidechains, Bitlayer Ecosystem, BTCfi Protocol, Binance Wallet IDO",bitlayer-bitvm,Bitlayer,BTR,32490509,124199194.0,9792.405198361224,11606.886836810523,0.13,1860396.0
KuCoin,USDT,"BNB Chain Ecosystem, Ethereum Ecosystem, Bitcoin Sidechains, Bitlayer Ecosystem, BTCfi Protocol, Binance Wallet IDO",bitlayer-bitvm,Bitlayer,BTR,32490509,124199194.0,10314.892907645153,11628.931923908425,0.21,445547.0
MEXC,USDT,"BNB Chain Ecosystem, Ethereum Ecosystem, Bitcoin Sidechains, Bitlayer Ecosystem, BTCfi Protocol, Binance Wallet IDO",bitlayer-bitvm,Bitlayer,BTR,32490509,124199194.0,10696.809380218701,3808.377648681751,0.3,1724994.0
MEXC,USDC,"BNB Chain Ecosystem, Ethereum Ecosystem, Bitcoin Sidechains, Bitlayer Ecosystem, BTCfi Protocol, Binance Wallet IDO",bitlayer-bitvm,Bitlayer,BTR,32490509,124199194.0,750.8312480932603,454.4060456490042,0.62,53250.0
Bybit,USDT,"Smart Contract Platform, Solana Ecosystem, Neon Ecosystem, Parallelized EVM",neon,Neon,NEON,32584992,136073852.0,12525.366012797213,11863.211146045804,0.09,67448.0
Gate.io,USDT,"Smart Contract Platform, Solana Ecosystem, Neon Ecosystem, Parallelized EVM",neon,Neon,NEON,32584992,136073852.0,14038.575796752111,12681.91747941522,0.19,226736.0
KuCoin,USDT,"Smart Contract Platform, Solana Ecosystem, Neon Ecosystem, Parallelized EVM",neon,Neon,NEON,32584992,136073852.0,9215.631485233642,4866.52460378407,0.22,7886.97
MEXC,USDT,"Smart Contract Platform, Solana Ecosystem, Neon Ecosystem, Parallelized EVM",neon,Neon,NEON,32584992,136073852.0,7112.665802181959,4731.615195897953,0.21,61884.0
Binance,USDT,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,52502.42275417254,68826.7375591901,0.04,1621912.0
Binance,USDC,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,7069.762671872424,21727.749043659886,0.42,46949.0
Bitget,USDT,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,43904.84578338544,43808.663006426956,0.07,632008.0
Gate.io,USDT,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,39964.46807432178,40600.04244805204,0.25,44914.0
KuCoin,USDT,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,2051.762069601102,1299.2168549006406,0.62,11356.88
MEXC,USDT,"BNB Chain Ecosystem, Binance Launchpool, Ethereum Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio",heima,Heima,HEI,32375399,40566765.0,22067.500124262253,10478.912876974488,0.07,969023.0
Gate.io,USDT,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Avalanche Ecosystem, Olympus Pro Ecosystem",pangolin,Pangolin,PNG,32033255,76808781.0,15627.580372916595,1196.10102872547,0.3,60730.0
MEXC,USDT,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Avalanche Ecosystem, Olympus Pro Ecosystem",pangolin,Pangolin,PNG,32033255,76808781.0,340.16287946723253,244.9465295014361,0.54,89131.0
Gate.io,USDT,"Smart Contract Platform, Ethereum Ecosystem, DragonFly Capital Portfolio, Pantera Capital Portfolio",thunder-token,ThunderCore,TT,32308416,32308416.0,374.2181871294245,690.9166647576761,0.35,21536.0
KuCoin,USDT,"Smart Contract Platform, Ethereum Ecosystem, DragonFly Capital Portfolio, Pantera Capital Portfolio",thunder-token,ThunderCore,TT,32308416,32308416.0,1557.7143439399306,974.6976558416533,2.62,360.44
Gate.io,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, Base Ecosystem, Card Games",unagi-token,Unagi Token,UNA,32140797,48900236.0,2610.60033970363,2793.672802442775,0.4,23976.0
KuCoin,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, Base Ecosystem, Card Games",unagi-token,Unagi Token,UNA,32140797,48900236.0,4364.180684745781,5536.3678013427625,0.12,128309.0
Binance,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Metaverse, Binance Launchpad, Gaming Platform, YZi Labs (Prev. Binance Labs) Portfolio, Sequoia Capital Portfolio",hooked-protocol,Hooked Protocol,HOOK,31828512,55514846.0,66665.36882734227,65011.86379014206,0.09,2468896.0
Bitget,USDT,"Gaming (GameFi), BNB Chain Ecosystem, Metaverse, Binance Launchpad, Gaming Platform, YZi Labs (Prev. Binance Labs) Portfolio, Sequoia Capital Portfolio",hooked-protocol,Hooked Protocol,HOOK,31828512,55514846.0,57528.36941928559,48413.77780747597,0.09,257521.0
